positive_score,negative_score,total_score,normalized_score,sentiment_intensity,positive_word_count,negative_word_count,degree_word_count,negation_count,rumor_positive_count,rumor_negative_count,urgency_score,spread_score
1.0,0.0,1.0,0.006349206349206349,0.006349206349206349,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,-1.0,-0.004878048780487805,0.004878048780487805,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.012195121951219513
1.0,0.0,1.0,0.00851063829787234,0.00851063829787234,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,-1.0,-0.004819277108433735,0.004819277108433735,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0125,0.0125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,0.021052631578947368,0.021052631578947368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,-1.0,-0.009523809523809525,0.009523809523809525,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
0.0,1.0,-1.0,-0.005,0.005,1.0,0.0,5.0,3.0,1.0,0.0,0.0125,0.0
2.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
